absolute_denominator_ha,absolute_hamiltonian_coupling_ha,directly_excited_determinant_index,en_amplitude_score,en_second_order_lowering_score_ha,excitation,external_en_amplitude_rank,global_uccsd_index,hf_determinant_index,internal_2e5o_operator,new_external_operator,operator_label,operator_type,signed_diagonal_gap_ha,transferred_compact10_operator
0.8479167817251678,9.633142136690078e-18,87,1.1360952329650238e-17,1.09441668599681e-34,"[[0, 10], [8, 17]]",68.0,87,0,False,True,"E87:(0,10)->(8,17)",double,0.8479167817251678,False
0.878491039747904,0.02899477780136685,88,0.03300520607436967,0.0009569786164146722,"[[0, 10], [8, 18]]",1.0,88,0,False,True,"E88:(0,10)->(8,18)",double,0.878491039747904,False
1.4099376173558538,0.02114781424938608,89,0.014999113428185516,0.0003171984646847397,"[[0, 10], [8, 19]]",7.0,89,0,False,True,"E89:(0,10)->(8,19)",double,1.4099376173558538,False
1.2136388364280544,0.008450232808955266,91,0.006962724457488308,5.883664265038295e-05,"[[0, 10], [9, 11]]",12.0,90,0,False,True,"E90:(0,10)->(9,11)",double,1.2136388364280544,False
1.2427580864716008,3.2197939957336035e-17,92,2.5908453389147843e-17,8.341988266112215e-34,"[[0, 10], [9, 12]]",52.0,91,0,False,True,"E91:(0,10)->(9,12)",double,1.2427580864716008,False
1.2427580864716008,9.44085806275668e-17,93,7.596698155117915e-17,7.171934902807377e-33,"[[0, 10], [9, 13]]",42.0,92,0,False,True,"E92:(0,10)->(9,13)",double,1.2427580864716008,False
1.5094975065817078,0.04519148372046264,94,0.029938097627467967,0.0013529470515533397,"[[0, 10], [9, 14]]",3.0,93,0,False,True,"E93:(0,10)->(9,14)",double,1.5094975065817078,False
1.3986009786918423,0.003491337122603328,95,0.0024963067921408796,8.715448572808283e-06,"[[0, 10], [9, 15]]",23.0,94,0,False,True,"E94:(0,10)->(9,15)",double,1.3986009786918423,False
1.3652181421495069,3.47127146957638e-17,96,2.5426496780294296e-17,8.826227284471128e-34,"[[0, 10], [9, 16]]",55.0,95,0,False,True,"E95:(0,10)->(9,16)",double,1.3652181421495069,False
1.3652181421495069,2.053603354785666e-17,97,1.5042309293900178e-17,3.0890936829677007e-34,"[[0, 10], [9, 17]]",64.0,96,0,False,True,"E96:(0,10)->(9,17)",double,1.3652181421495069,False
1.4099376173558538,0.021147814249386034,98,0.014999113428185485,0.00031719846468473837,"[[0, 10], [9, 18]]",8.0,97,0,False,True,"E97:(0,10)->(9,18)",double,1.4099376173558538,False
2.032257344552151,0.04590340900648641,99,0.02258739973534314,0.001036838648444459,"[[0, 10], [9, 19]]",4.0,98,0,False,True,"E98:(0,10)->(9,19)",double,2.032257344552151,False
