family,support_name,geometry_key,bond_length_angstrom,external_k,total_operator_count,successful_restarts,analysis_stable,best_variational_total_ha,restart_energy_spread_ha,accepted_full_2e10o_exact_total_ha,best_error_vs_full_2e10o_exact_ha,chemical_accuracy,guard_band_accuracy,variational_bound_respected
deterministic_path,compact10_plus_top_31,3.000000,3.0,31,41,2,True,-7.94487011260517,3.7778669081944827e-11,-7.949505082865738,0.0046349702605672505,False,False,True
deterministic_path,compact10_plus_top_32,1.595000,1.595,32,42,2,True,-7.997564216158039,3.345768107010372e-10,-7.998002039295045,0.00043782313700635456,True,True,True
deterministic_path,compact10_plus_top_32,2.500000,2.5,32,42,2,True,-7.967355238487513,4.014122367834716e-11,-7.9690746235741745,0.0017193850866616955,False,False,True
deterministic_path,compact10_plus_top_32,3.000000,3.0,32,42,2,True,-7.945227532823533,2.561666434530707e-10,-7.949505082865738,0.0042775500422047585,False,False,True
deterministic_path,compact10_plus_top_33,1.595000,1.595,33,43,2,True,-7.99758881036005,2.2426771550954072e-10,-7.998002039295045,0.00041322893499540214,True,True,True
deterministic_path,compact10_plus_top_33,2.500000,2.5,33,43,2,True,-7.967471321028401,6.148592746058057e-11,-7.9690746235741745,0.0016033025457735661,False,False,True
deterministic_path,compact10_plus_top_33,3.000000,3.0,33,43,2,True,-7.945553810265012,3.2802205396365025e-11,-7.949505082865738,0.003951272600725808,False,False,True
deterministic_path,compact10_plus_top_34,1.595000,1.595,34,44,2,True,-7.997618547015741,2.05675476649958e-11,-7.998002039295045,0.0003834922793037876,True,True,True
deterministic_path,compact10_plus_top_34,2.500000,2.5,34,44,2,True,-7.967659020028175,1.475077837653771e-10,-7.9690746235741745,0.0014156035459995664,True,False,True
deterministic_path,compact10_plus_top_34,3.000000,3.0,34,44,2,True,-7.945796146269982,3.724824892969991e-10,-7.949505082865738,0.003708936595755219,False,False,True
deterministic_path,compact10_plus_top_35,1.595000,1.595,35,45,2,True,-7.997644539860314,3.267253134708881e-11,-7.998002039295045,0.0003574994347310678,True,True,True
deterministic_path,compact10_plus_top_35,2.500000,2.5,35,45,2,True,-7.967827883277348,1.1216449991025002e-10,-7.9690746235741745,0.0012467402968265873,True,False,True
deterministic_path,compact10_plus_top_35,3.000000,3.0,35,45,2,True,-7.946019624541435,3.7988456824677996e-10,-7.949505082865738,0.0034854583243024706,False,False,True
deterministic_path,compact10_plus_top_36,1.595000,1.595,36,46,2,True,-7.997828026688407,3.979927498676261e-11,-7.998002039295045,0.00017401260663785223,True,True,True
deterministic_path,compact10_plus_top_36,2.500000,2.5,36,46,2,True,-7.968494604223238,5.499876110093282e-10,-7.9690746235741745,0.0005800193509362117,True,True,True
deterministic_path,compact10_plus_top_36,3.000000,3.0,36,46,2,True,-7.948041688108792,8.052758460053155e-11,-7.949505082865738,0.0014633947569455685,True,False,True
deterministic_path,compact10_plus_top_37,1.595000,1.595,37,47,2,True,-7.9980020392207605,4.858335955759685e-11,-7.998002039295045,7.428457848845937e-11,True,True,True
deterministic_path,compact10_plus_top_37,2.500000,2.5,37,47,2,True,-7.969074623142736,1.0797229776926542e-10,-7.9690746235741745,4.3143888461827373e-10,True,True,True
deterministic_path,compact10_plus_top_37,3.000000,3.0,37,47,2,True,-7.949505082745977,8.736478207538312e-11,-7.949505082865738,1.1976108993394519e-10,True,True,True
